[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_execution_20260709_203150.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-09_20-31-50.log[0m
[36m======================================================================================================================[0m

[33m20:31:50 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Nominal Reach  | EE err: 0.371 m | L1 sh:  +0.2 | L1 elbow:  -0.2 N-m | ESS:  68.2/200 | plan:  204.4 ms
t=001.0s | Phase 1: Nominal Reach  | EE err: 0.346 m | L1 sh:  +0.4 | L1 elbow:  -0.1 N-m | ESS:  91.6/200 | plan:  191.6 ms
t=001.5s | Phase 1: Nominal Reach  | EE err: 0.328 m | L1 sh:  +0.2 | L1 elbow:  +0.1 N-m | ESS:  49.8/200 | plan:  197.2 ms
t=002.0s | Phase 1: Nominal Reach  | EE err: 0.308 m | L1 sh:  -0.5 | L1 elbow:  +0.4 N-m | ESS:  41.5/200 | plan:  212.4 ms
t=002.5s | Phase 1: Nominal Reach  | EE err: 0.283 m | L1 sh:  -1.6 | L1 elbow:  +1.3 N-m | ESS:  67.9/200 | plan:  211.6 ms
t=003.0s | Phase 1: Nominal Reach  | EE err: 0.259 m | L1 sh:  -1.9 | L1 elbow:  +1.4 N-m | ESS:  86.0/200 | plan:  195.4 ms
t=003.5s | Phase 1: Nominal Reach  | EE err: 0.231 m | L1 sh:  -2.0 | L1 elbow:  +1.7 N-m | ESS:  84.8/200 | plan:  201.9 ms
t=004.0s | Phase 1: Nominal Reach  | EE err: 0.205 m | L1 sh:  -2.1 | L1 elbow:  +1.8 N-m | ESS:  69.7/200 | plan:  207.7 ms
t=004.5s | Phase 2: SABOTAGE       | EE err: 0.243 m | L1 sh: +14.6 | L1 elbow: +14.7 N-m | ESS:  69.2/200 | plan:  187.2 ms
t=005.0s | Phase 2: SABOTAGE       | EE err: 0.225 m | L1 sh: +17.4 | L1 elbow: +16.5 N-m | ESS:  88.4/200 | plan:  185.5 ms
t=005.5s | Phase 2: SABOTAGE       | EE err: 0.199 m | L1 sh: +17.6 | L1 elbow: +16.9 N-m | ESS:  65.0/200 | plan:  194.9 ms
t=006.0s | Phase 2: SABOTAGE       | EE err: 0.172 m | L1 sh: +17.6 | L1 elbow: +17.1 N-m | ESS:  49.8/200 | plan:  207.4 ms
t=006.5s | Phase 2: SABOTAGE       | EE err: 0.149 m | L1 sh: +17.9 | L1 elbow: +17.1 N-m | ESS:  95.2/200 | plan:  204.1 ms
