[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_K200_unknown_L1_on_20260710_010234.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-10_01-02-34.log[0m
[36m======================================================================================================================[0m

[33m01:02:34 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.372 m | L1 sh:  +0.2 | L1 elbow:  -0.3 N-m | ESS:  73.9/200 | plan:  183.1 ms
t=001.0s | Phase 1: Approach  | EE err: 0.352 m | L1 sh:  +0.4 | L1 elbow:  -0.1 N-m | ESS:  64.0/200 | plan:  180.9 ms
t=001.5s | Phase 1: Approach  | EE err: 0.338 m | L1 sh:  +0.3 | L1 elbow:  -0.1 N-m | ESS:  73.9/200 | plan:  201.5 ms
t=002.0s | Phase 1: Approach  | EE err: 0.328 m | L1 sh:  +0.0 | L1 elbow:  +0.1 N-m | ESS:  65.5/200 | plan:  200.3 ms
t=002.5s | Phase 1: Approach  | EE err: 0.320 m | L1 sh:  -0.2 | L1 elbow:  +0.3 N-m | ESS:  69.5/200 | plan:  187.0 ms
t=003.0s | Phase 1: Approach  | EE err: 0.305 m | L1 sh:  -1.1 | L1 elbow:  +0.7 N-m | ESS:  28.2/200 | plan:  185.8 ms
t=003.5s | Phase 1: Approach  | EE err: 0.285 m | L1 sh:  -1.8 | L1 elbow:  +1.2 N-m | ESS:  31.4/200 | plan:  225.1 ms
t=004.0s | Phase 1: Approach  | EE err: 0.263 m | L1 sh:  -1.9 | L1 elbow:  +1.5 N-m | ESS:  33.6/200 | plan:  179.5 ms
t=004.5s | Phase 1: Approach  | EE err: 0.244 m | L1 sh:  -2.3 | L1 elbow:  +1.5 N-m | ESS:  64.3/200 | plan:  177.8 ms
t=005.0s | Phase 1: Approach  | EE err: 0.225 m | L1 sh:  -2.3 | L1 elbow:  +1.6 N-m | ESS:  51.9/200 | plan:  196.9 ms
t=005.5s | Phase 1: Approach  | EE err: 0.206 m | L1 sh:  -2.3 | L1 elbow:  +1.7 N-m | ESS:  46.8/200 | plan:  192.7 ms
t=006.0s | Phase 1: Approach  | EE err: 0.189 m | L1 sh:  -2.3 | L1 elbow:  +1.8 N-m | ESS:  61.2/200 | plan:  176.3 ms
[CHECK] env0 hand mass now: 2.180 kg
[EVENT] t=6.01s GRASP: +1.5 kg on env 0  [WARN: grasped while 0.19 m from target]
t=006.5s | Phase 2: Transport | EE err: 0.225 m | L1 sh:  -7.7 | L1 elbow:  +7.8 N-m | ESS:  57.7/200 | plan:  199.4 ms
t=007.0s | Phase 2: Transport | EE err: 0.177 m | L1 sh:  -8.0 | L1 elbow:  +8.0 N-m | ESS:  72.9/200 | plan:  199.6 ms
t=007.5s | Phase 2: Transport | EE err: 0.121 m | L1 sh:  -6.8 | L1 elbow:  +7.1 N-m | ESS:  77.1/200 | plan:  209.5 ms
t=008.0s | Phase 2: Transport | EE err: 0.093 m | L1 sh:  -5.8 | L1 elbow:  +6.8 N-m | ESS:  41.7/200 | plan:  203.7 ms
t=008.5s | Phase 2: Transport | EE err: 0.106 m | L1 sh:  -5.0 | L1 elbow:  +6.3 N-m | ESS:  81.0/200 | plan:  182.2 ms
t=009.0s | Phase 2: Transport | EE err: 0.134 m | L1 sh:  -4.0 | L1 elbow:  +5.5 N-m | ESS: 107.8/200 | plan:  204.2 ms
t=009.5s | Phase 2: Transport | EE err: 0.155 m | L1 sh:  -3.2 | L1 elbow:  +4.9 N-m | ESS:  80.8/200 | plan:  195.5 ms
t=010.0s | Phase 2: Transport | EE err: 0.138 m | L1 sh:  -3.5 | L1 elbow:  +5.1 N-m | ESS:  68.4/200 | plan:  192.3 ms
t=010.5s | Phase 2: Transport | EE err: 0.138 m | L1 sh:  -4.1 | L1 elbow:  +5.3 N-m | ESS:  55.8/200 | plan:  184.1 ms
t=011.0s | Phase 2: Transport | EE err: 0.145 m | L1 sh:  -4.0 | L1 elbow:  +5.4 N-m | ESS:  64.9/200 | plan:  192.6 ms
t=011.5s | Phase 2: Transport | EE err: 0.148 m | L1 sh:  -4.2 | L1 elbow:  +5.4 N-m | ESS:  66.0/200 | plan:  196.0 ms
t=012.0s | Phase 2: Transport | EE err: 0.149 m | L1 sh:  -4.3 | L1 elbow:  +5.3 N-m | ESS:  70.5/200 | plan:  184.5 ms
t=012.5s | Phase 2: Transport | EE err: 0.145 m | L1 sh:  -4.4 | L1 elbow:  +5.5 N-m | ESS:  76.4/200 | plan:  176.6 ms
t=013.0s | Phase 2: Transport | EE err: 0.142 m | L1 sh:  -4.6 | L1 elbow:  +5.5 N-m | ESS:  82.1/200 | plan:  184.3 ms
