[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_execution_20260709_200608.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-09_20-06-08.log[0m
[36m======================================================================================================================[0m

[33m20:06:08 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262848e-01 -7.3909760e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114536e-01 1.5258789e-05 1.5809889e+00]
[INFO]: L1 Filter Enabled: True
t=016.5s | Phase 2: SABOTAGE       | EE err: 0.153 m | L1 sh: +18.2 | L1 elbow: +16.3 N-m | ESS:  12.6/32 | plan:  197.8 ms
t=017.0s | Phase 2: SABOTAGE       | EE err: 0.142 m | L1 sh: +18.5 | L1 elbow: +16.1 N-m | ESS:   7.1/32 | plan:  194.7 ms
t=017.5s | Phase 3: Returning Home | EE err: 0.299 m | L1 sh:  +2.9 | L1 elbow:  +3.6 N-m | ESS:  16.5/32 | plan:  191.4 ms
t=018.0s | Phase 3: Returning Home | EE err: 0.294 m | L1 sh:  +0.9 | L1 elbow:  +0.9 N-m | ESS:  17.0/32 | plan:  184.9 ms
t=018.5s | Phase 3: Returning Home | EE err: 0.281 m | L1 sh:  +0.1 | L1 elbow:  +0.4 N-m | ESS:  17.1/32 | plan:  198.0 ms
t=019.0s | Phase 3: Returning Home | EE err: 0.263 m | L1 sh:  -0.2 | L1 elbow:  +0.6 N-m | ESS:  13.7/32 | plan:  194.6 ms
t=019.5s | Phase 3: Returning Home | EE err: 0.244 m | L1 sh:  -0.9 | L1 elbow:  +0.6 N-m | ESS:  11.5/32 | plan:  186.0 ms
t=020.0s | Phase 3: Returning Home | EE err: 0.226 m | L1 sh:  -1.3 | L1 elbow:  +0.9 N-m | ESS:  12.5/32 | plan:  190.2 ms
t=020.5s | Phase 1: Nominal Reach  | EE err: 0.167 m | L1 sh:  -1.4 | L1 elbow:  +0.8 N-m | ESS:  10.8/32 | plan:  217.0 ms
t=021.0s | Phase 1: Nominal Reach  | EE err: 0.153 m | L1 sh:  -1.1 | L1 elbow:  +1.0 N-m | ESS:  11.7/32 | plan:  214.9 ms
t=021.5s | Phase 1: Nominal Reach  | EE err: 0.145 m | L1 sh:  -0.9 | L1 elbow:  +0.8 N-m | ESS:  17.8/32 | plan:  192.0 ms
t=022.0s | Phase 1: Nominal Reach  | EE err: 0.135 m | L1 sh:  -1.1 | L1 elbow:  +0.6 N-m | ESS:  16.8/32 | plan:  192.6 ms
t=022.5s | Phase 1: Nominal Reach  | EE err: 0.128 m | L1 sh:  -0.5 | L1 elbow:  +0.7 N-m | ESS:  14.8/32 | plan:  191.4 ms
t=023.0s | Phase 1: Nominal Reach  | EE err: 0.120 m | L1 sh:  -0.4 | L1 elbow:  +0.5 N-m | ESS:  22.3/32 | plan:  204.4 ms
t=023.5s | Phase 1: Nominal Reach  | EE err: 0.121 m | L1 sh:  -0.1 | L1 elbow:  +0.4 N-m | ESS:  23.6/32 | plan:  210.7 ms
t=024.0s | Phase 1: Nominal Reach  | EE err: 0.121 m | L1 sh:  +0.1 | L1 elbow:  +0.4 N-m | ESS:  21.4/32 | plan:  199.5 ms
t=024.5s | Phase 2: SABOTAGE       | EE err: 0.160 m | L1 sh: +16.1 | L1 elbow: +13.4 N-m | ESS:  16.0/32 | plan:  187.8 ms
t=025.0s | Phase 2: SABOTAGE       | EE err: 0.152 m | L1 sh: +18.5 | L1 elbow: +15.5 N-m | ESS:  17.5/32 | plan:  193.0 ms
t=025.5s | Phase 2: SABOTAGE       | EE err: 0.140 m | L1 sh: +19.5 | L1 elbow: +15.9 N-m | ESS:  21.0/32 | plan:  199.4 ms
t=026.0s | Phase 2: SABOTAGE       | EE err: 0.131 m | L1 sh: +19.2 | L1 elbow: +15.7 N-m | ESS:  22.9/32 | plan:  196.2 ms
t=026.5s | Phase 2: SABOTAGE       | EE err: 0.125 m | L1 sh: +19.6 | L1 elbow: +15.5 N-m | ESS:  12.1/32 | plan:  184.1 ms
t=027.0s | Phase 2: SABOTAGE       | EE err: 0.115 m | L1 sh: +19.7 | L1 elbow: +15.4 N-m | ESS:  22.7/32 | plan:  181.5 ms
t=027.5s | Phase 3: Returning Home | EE err: 0.329 m | L1 sh:  +4.5 | L1 elbow:  +2.7 N-m | ESS:  14.0/32 | plan:  184.9 ms
t=028.0s | Phase 3: Returning Home | EE err: 0.333 m | L1 sh:  +1.0 | L1 elbow:  -0.1 N-m | ESS:  14.8/32 | plan:  213.4 ms
