[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_execution_20260712_150606.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-12_15-06-06.log[0m
[36m======================================================================================================================[0m

[33m15:06:07 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Nominal Reach  | EE err: 0.375 m | L1 sh:  +0.1 | L1 elbow:  -0.4 N-m | ESS:  13.2/200 | plan:  228.6 ms
t=001.0s | Phase 1: Nominal Reach  | EE err: 0.411 m | L1 sh:  -0.8 | L1 elbow:  +0.7 N-m | ESS:  14.0/200 | plan:  204.2 ms
t=001.5s | Phase 1: Nominal Reach  | EE err: 0.465 m | L1 sh:  -1.9 | L1 elbow:  +1.5 N-m | ESS:  22.5/200 | plan:  209.3 ms
t=002.0s | Phase 1: Nominal Reach  | EE err: 0.525 m | L1 sh:  -1.4 | L1 elbow:  +1.7 N-m | ESS:   5.6/200 | plan:  213.9 ms
t=002.5s | Phase 1: Nominal Reach  | EE err: 0.585 m | L1 sh:  -0.2 | L1 elbow:  +0.9 N-m | ESS:   1.4/200 | plan:  199.3 ms
t=003.0s | Phase 1: Nominal Reach  | EE err: 0.825 m | L1 sh:  -0.6 | L1 elbow:  +4.3 N-m | ESS:   2.6/200 | plan:  213.8 ms
t=003.5s | Phase 1: Nominal Reach  | EE err: 1.078 m | L1 sh:  +6.2 | L1 elbow: +12.0 N-m | ESS:  12.6/200 | plan:  209.2 ms
t=004.0s | Phase 1: Nominal Reach  | EE err: 1.117 m | L1 sh: +25.0 | L1 elbow: +13.5 N-m | ESS:  90.8/200 | plan:  188.6 ms
t=004.5s | Phase 2: SABOTAGE       | EE err: 1.030 m | L1 sh: +25.0 | L1 elbow: +15.8 N-m | ESS:  76.6/200 | plan:  202.7 ms
t=005.0s | Phase 2: SABOTAGE       | EE err: 0.891 m | L1 sh: +25.0 | L1 elbow: +15.4 N-m | ESS:  99.5/200 | plan:  203.3 ms
t=005.5s | Phase 2: SABOTAGE       | EE err: 0.699 m | L1 sh: +25.0 | L1 elbow: +15.4 N-m | ESS: 113.9/200 | plan:  198.2 ms
t=006.0s | Phase 2: SABOTAGE       | EE err: 0.389 m | L1 sh: +25.0 | L1 elbow: +13.8 N-m | ESS:  59.8/200 | plan:  201.9 ms
t=006.5s | Phase 2: SABOTAGE       | EE err: 0.407 m | L1 sh: +25.0 | L1 elbow: +15.3 N-m | ESS:  66.6/200 | plan:  192.2 ms
t=007.0s | Phase 2: SABOTAGE       | EE err: 0.419 m | L1 sh: +25.0 | L1 elbow: +17.0 N-m | ESS:  49.7/200 | plan:  189.0 ms
t=007.5s | Phase 3: Returning Home | EE err: 0.497 m | L1 sh: +13.3 | L1 elbow: +17.2 N-m | ESS:  38.1/200 | plan:  204.2 ms
t=008.0s | Phase 3: Returning Home | EE err: 0.483 m | L1 sh: +16.2 | L1 elbow: +17.2 N-m | ESS: 104.7/200 | plan:  211.6 ms
t=008.5s | Phase 3: Returning Home | EE err: 0.480 m | L1 sh: +22.1 | L1 elbow: +17.2 N-m | ESS:  83.2/200 | plan:  202.7 ms
t=009.0s | Phase 3: Returning Home | EE err: 0.480 m | L1 sh: +25.0 | L1 elbow: +17.3 N-m | ESS:  56.4/200 | plan:  214.2 ms
t=009.5s | Phase 3: Returning Home | EE err: 0.469 m | L1 sh: +25.0 | L1 elbow: +17.3 N-m | ESS:  83.5/200 | plan:  213.5 ms
t=010.0s | Phase 3: Returning Home | EE err: 0.468 m | L1 sh: +25.0 | L1 elbow: +17.4 N-m | ESS:  93.1/200 | plan:  229.3 ms
t=010.5s | Phase 1: Nominal Reach  | EE err: 0.481 m | L1 sh: +25.0 | L1 elbow: +17.8 N-m | ESS:  74.1/200 | plan:  211.9 ms
t=011.0s | Phase 1: Nominal Reach  | EE err: 0.563 m | L1 sh: +25.0 | L1 elbow: +17.9 N-m | ESS:  86.3/200 | plan:  208.3 ms
t=011.5s | Phase 1: Nominal Reach  | EE err: 0.679 m | L1 sh: +25.0 | L1 elbow: +18.1 N-m | ESS:   5.9/200 | plan:  198.1 ms
t=012.0s | Phase 1: Nominal Reach  | EE err: 0.810 m | L1 sh: +25.0 | L1 elbow: +18.4 N-m | ESS:  55.0/200 | plan:  208.9 ms
t=012.5s | Phase 1: Nominal Reach  | EE err: 0.872 m | L1 sh: +25.0 | L1 elbow: +18.8 N-m | ESS:  88.1/200 | plan:  196.9 ms
t=013.0s | Phase 1: Nominal Reach  | EE err: 1.000 m | L1 sh: +16.7 | L1 elbow: +19.9 N-m | ESS: 103.0/200 | plan:  201.5 ms
t=013.5s | Phase 1: Nominal Reach  | EE err: 1.213 m | L1 sh:  +2.3 | L1 elbow: +20.7 N-m | ESS:  37.3/200 | plan:  219.8 ms
t=014.0s | Phase 1: Nominal Reach  | EE err: 1.320 m | L1 sh:  +0.2 | L1 elbow: +20.8 N-m | ESS:  76.4/200 | plan:  199.9 ms
t=014.5s | Phase 2: SABOTAGE       | EE err: 1.332 m | L1 sh: +17.2 | L1 elbow: +22.1 N-m | ESS:  74.2/200 | plan:  197.8 ms
t=015.0s | Phase 2: SABOTAGE       | EE err: 1.390 m | L1 sh: +19.9 | L1 elbow: +22.8 N-m | ESS:  85.0/200 | plan:  213.6 ms
t=015.5s | Phase 2: SABOTAGE       | EE err: 1.456 m | L1 sh: +19.7 | L1 elbow: +22.4 N-m | ESS:  94.9/200 | plan:  197.3 ms
t=016.0s | Phase 2: SABOTAGE       | EE err: 1.484 m | L1 sh: +23.5 | L1 elbow: +22.3 N-m | ESS:  79.3/200 | plan:  216.9 ms
t=016.5s | Phase 2: SABOTAGE       | EE err: 1.473 m | L1 sh: +24.4 | L1 elbow: +22.7 N-m | ESS:  74.3/200 | plan:  204.9 ms
t=017.0s | Phase 2: SABOTAGE       | EE err: 1.454 m | L1 sh: +24.7 | L1 elbow: +22.5 N-m | ESS:  46.9/200 | plan:  203.3 ms
t=017.5s | Phase 3: Returning Home | EE err: 1.057 m | L1 sh: +25.0 | L1 elbow: +22.5 N-m | ESS:  39.8/200 | plan:  245.9 ms
t=018.0s | Phase 3: Returning Home | EE err: 1.037 m | L1 sh: +25.0 | L1 elbow: +22.4 N-m | ESS:  35.0/200 | plan:  209.9 ms
t=018.5s | Phase 3: Returning Home | EE err: 1.035 m | L1 sh: +25.0 | L1 elbow: +22.4 N-m | ESS:  41.2/200 | plan:  216.5 ms
