[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_K200_nominal_L1_on_20260710_012537.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-10_01-25-37.log[0m
[36m======================================================================================================================[0m

[33m01:25:37 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.373 m | L1 sh:  +0.2 | L1 elbow:  -0.3 N-m | ESS:  98.5/200 | plan:  199.1 ms
t=001.0s | Phase 1: Approach  | EE err: 0.351 m | L1 sh:  +0.3 | L1 elbow:  -0.1 N-m | ESS:  31.2/200 | plan:  214.9 ms
t=001.5s | Phase 1: Approach  | EE err: 0.336 m | L1 sh:  +0.3 | L1 elbow:  -0.0 N-m | ESS:  68.2/200 | plan:  211.0 ms
t=002.0s | Phase 1: Approach  | EE err: 0.325 m | L1 sh:  -0.0 | L1 elbow:  +0.1 N-m | ESS:  41.0/200 | plan:  192.5 ms
t=002.5s | Phase 1: Approach  | EE err: 0.314 m | L1 sh:  -0.6 | L1 elbow:  +0.4 N-m | ESS:  63.5/200 | plan:  227.9 ms
t=003.0s | Phase 1: Approach  | EE err: 0.296 m | L1 sh:  -1.7 | L1 elbow:  +0.9 N-m | ESS:  60.6/200 | plan:  203.8 ms
t=003.5s | Phase 1: Approach  | EE err: 0.279 m | L1 sh:  -2.0 | L1 elbow:  +1.3 N-m | ESS:  35.8/200 | plan:  204.3 ms
t=004.0s | Phase 1: Approach  | EE err: 0.265 m | L1 sh:  -2.0 | L1 elbow:  +1.4 N-m | ESS:  51.1/200 | plan:  192.7 ms
t=004.5s | Phase 1: Approach  | EE err: 0.249 m | L1 sh:  -2.2 | L1 elbow:  +1.5 N-m | ESS:  17.6/200 | plan:  189.1 ms
t=005.0s | Phase 1: Approach  | EE err: 0.231 m | L1 sh:  -2.4 | L1 elbow:  +1.7 N-m | ESS:  36.2/200 | plan:  194.7 ms
t=005.5s | Phase 1: Approach  | EE err: 0.215 m | L1 sh:  -2.3 | L1 elbow:  +1.7 N-m | ESS:  31.9/200 | plan:  191.1 ms
