[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_execution_20260709_202201.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-09_20-22-01.log[0m
[36m======================================================================================================================[0m

[33m20:22:01 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262848e-01 -7.3909760e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114536e-01 1.5258789e-05 1.5809889e+00]
[INFO]: L1 Filter Enabled: True
t=000.5s | Phase 1: Nominal Reach  | EE err: 0.368 m | L1 sh:  +0.2 | L1 elbow:  -0.4 N-m | ESS:  16.5/32 | plan:  189.6 ms
t=001.0s | Phase 1: Nominal Reach  | EE err: 0.339 m | L1 sh:  +0.3 | L1 elbow:  -0.3 N-m | ESS:  10.6/32 | plan:  195.8 ms
t=001.5s | Phase 1: Nominal Reach  | EE err: 0.308 m | L1 sh:  -0.2 | L1 elbow:  +0.1 N-m | ESS:   5.2/32 | plan:  186.3 ms
t=002.0s | Phase 1: Nominal Reach  | EE err: 0.280 m | L1 sh:  -0.7 | L1 elbow:  +0.7 N-m | ESS:  12.6/32 | plan:  186.3 ms
t=002.5s | Phase 1: Nominal Reach  | EE err: 0.245 m | L1 sh:  -0.6 | L1 elbow:  +0.7 N-m | ESS:  10.3/32 | plan:  191.5 ms
t=003.0s | Phase 1: Nominal Reach  | EE err: 0.212 m | L1 sh:  -0.8 | L1 elbow:  +1.0 N-m | ESS:   4.7/32 | plan:  187.1 ms
t=003.5s | Phase 1: Nominal Reach  | EE err: 0.184 m | L1 sh:  -0.6 | L1 elbow:  +0.9 N-m | ESS:   6.7/32 | plan:  185.7 ms
t=004.0s | Phase 1: Nominal Reach  | EE err: 0.157 m | L1 sh:  -0.8 | L1 elbow:  +1.1 N-m | ESS:  10.7/32 | plan:  187.0 ms
t=004.5s | Phase 2: SABOTAGE       | EE err: 0.196 m | L1 sh: +16.0 | L1 elbow: +13.8 N-m | ESS:  12.2/32 | plan:  197.4 ms
t=005.0s | Phase 2: SABOTAGE       | EE err: 0.174 m | L1 sh: +18.3 | L1 elbow: +15.8 N-m | ESS:   6.0/32 | plan:  184.8 ms
t=005.5s | Phase 2: SABOTAGE       | EE err: 0.154 m | L1 sh: +18.8 | L1 elbow: +16.5 N-m | ESS:  12.0/32 | plan:  193.6 ms
t=006.0s | Phase 2: SABOTAGE       | EE err: 0.146 m | L1 sh: +19.0 | L1 elbow: +16.4 N-m | ESS:  21.4/32 | plan:  175.3 ms
t=006.5s | Phase 2: SABOTAGE       | EE err: 0.155 m | L1 sh: +19.0 | L1 elbow: +16.3 N-m | ESS:  17.8/32 | plan:  178.4 ms
t=007.0s | Phase 2: SABOTAGE       | EE err: 0.177 m | L1 sh: +19.1 | L1 elbow: +16.5 N-m | ESS:  15.9/32 | plan:  203.7 ms
t=007.5s | Phase 3: Returning Home | EE err: 0.360 m | L1 sh:  +2.8 | L1 elbow:  +5.2 N-m | ESS:  13.9/32 | plan:  184.0 ms
t=008.0s | Phase 3: Returning Home | EE err: 0.416 m | L1 sh:  +0.4 | L1 elbow:  +1.4 N-m | ESS:  12.9/32 | plan:  173.9 ms
t=008.5s | Phase 3: Returning Home | EE err: 0.406 m | L1 sh:  -0.2 | L1 elbow:  +1.1 N-m | ESS:  18.4/32 | plan:  194.4 ms
t=009.0s | Phase 3: Returning Home | EE err: 0.371 m | L1 sh:  -0.1 | L1 elbow:  +1.1 N-m | ESS:  12.4/32 | plan:  202.3 ms
t=009.5s | Phase 3: Returning Home | EE err: 0.354 m | L1 sh:  -0.0 | L1 elbow:  +1.2 N-m | ESS:  14.7/32 | plan:  209.3 ms
t=010.0s | Phase 3: Returning Home | EE err: 0.383 m | L1 sh:  -0.6 | L1 elbow:  +1.0 N-m | ESS:  11.2/32 | plan:  201.1 ms
t=010.5s | Phase 1: Nominal Reach  | EE err: 0.311 m | L1 sh:  -0.9 | L1 elbow:  +1.4 N-m | ESS:  14.0/32 | plan:  202.2 ms
t=011.0s | Phase 1: Nominal Reach  | EE err: 0.177 m | L1 sh:  -0.7 | L1 elbow:  +1.2 N-m | ESS:  15.6/32 | plan:  183.8 ms
t=011.5s | Phase 1: Nominal Reach  | EE err: 0.118 m | L1 sh:  -0.4 | L1 elbow:  +0.9 N-m | ESS:  20.0/32 | plan:  212.5 ms
t=012.0s | Phase 1: Nominal Reach  | EE err: 0.180 m | L1 sh:  -0.3 | L1 elbow:  +1.1 N-m | ESS:  17.7/32 | plan:  201.0 ms
t=012.5s | Phase 1: Nominal Reach  | EE err: 0.175 m | L1 sh:  -0.7 | L1 elbow:  +1.0 N-m | ESS:  17.5/32 | plan:  197.0 ms
t=013.0s | Phase 1: Nominal Reach  | EE err: 0.120 m | L1 sh:  -0.5 | L1 elbow:  +0.9 N-m | ESS:  22.8/32 | plan:  199.0 ms
t=013.5s | Phase 1: Nominal Reach  | EE err: 0.123 m | L1 sh:  +0.1 | L1 elbow:  +0.9 N-m | ESS:  16.8/32 | plan:  184.0 ms
t=014.0s | Phase 1: Nominal Reach  | EE err: 0.161 m | L1 sh:  -0.1 | L1 elbow:  +0.9 N-m | ESS:  15.6/32 | plan:  192.7 ms
t=014.5s | Phase 2: SABOTAGE       | EE err: 0.119 m | L1 sh: +15.9 | L1 elbow: +14.0 N-m | ESS:   9.8/32 | plan:  181.3 ms
t=015.0s | Phase 2: SABOTAGE       | EE err: 0.094 m | L1 sh: +18.3 | L1 elbow: +16.1 N-m | ESS:  15.3/32 | plan:  172.0 ms
t=015.5s | Phase 2: SABOTAGE       | EE err: 0.093 m | L1 sh: +19.0 | L1 elbow: +16.6 N-m | ESS:  16.3/32 | plan:  204.7 ms
t=016.0s | Phase 2: SABOTAGE       | EE err: 0.093 m | L1 sh: +19.3 | L1 elbow: +16.5 N-m | ESS:  18.5/32 | plan:  189.9 ms
t=016.5s | Phase 2: SABOTAGE       | EE err: 0.089 m | L1 sh: +19.6 | L1 elbow: +16.3 N-m | ESS:  13.1/32 | plan:  199.1 ms
t=017.0s | Phase 2: SABOTAGE       | EE err: 0.070 m | L1 sh: +20.1 | L1 elbow: +16.1 N-m | ESS:  15.9/32 | plan:  198.4 ms
t=017.5s | Phase 3: Returning Home | EE err: 0.384 m | L1 sh:  +3.5 | L1 elbow:  +2.9 N-m | ESS:   4.1/32 | plan:  200.0 ms
t=018.0s | Phase 3: Returning Home | EE err: 0.366 m | L1 sh:  +0.7 | L1 elbow:  +1.2 N-m | ESS:  11.5/32 | plan:  174.8 ms
t=018.5s | Phase 3: Returning Home | EE err: 0.380 m | L1 sh:  +1.5 | L1 elbow:  -0.9 N-m | ESS:   7.3/32 | plan:  196.3 ms
t=019.0s | Phase 3: Returning Home | EE err: 0.340 m | L1 sh:  +3.6 | L1 elbow:  -1.6 N-m | ESS:   4.8/32 | plan:  197.9 ms
t=019.5s | Phase 3: Returning Home | EE err: 0.334 m | L1 sh:  +0.8 | L1 elbow:  -0.8 N-m | ESS:  15.2/32 | plan:  216.5 ms
t=020.0s | Phase 3: Returning Home | EE err: 0.330 m | L1 sh:  +3.9 | L1 elbow:  -1.2 N-m | ESS:  13.4/32 | plan:  196.8 ms
t=020.5s | Phase 1: Nominal Reach  | EE err: 0.123 m | L1 sh:  +2.4 | L1 elbow:  -1.6 N-m | ESS:  19.7/32 | plan:  196.5 ms
t=021.0s | Phase 1: Nominal Reach  | EE err: 0.153 m | L1 sh:  +0.5 | L1 elbow:  -1.3 N-m | ESS:   9.8/32 | plan:  214.3 ms
t=021.5s | Phase 1: Nominal Reach  | EE err: 0.217 m | L1 sh:  +3.0 | L1 elbow:  +4.3 N-m | ESS:  19.2/32 | plan:  185.2 ms
t=022.0s | Phase 1: Nominal Reach  | EE err: 0.154 m | L1 sh:  +1.0 | L1 elbow:  +7.2 N-m | ESS:   5.4/32 | plan:  205.0 ms
t=022.5s | Phase 1: Nominal Reach  | EE err: 0.243 m | L1 sh:  -0.2 | L1 elbow:  +6.3 N-m | ESS:  18.0/32 | plan:  201.9 ms
t=023.0s | Phase 1: Nominal Reach  | EE err: 0.168 m | L1 sh:  +4.9 | L1 elbow:  +0.6 N-m | ESS:  11.4/32 | plan:  222.3 ms
t=023.5s | Phase 1: Nominal Reach  | EE err: 0.218 m | L1 sh:  -0.5 | L1 elbow:  +2.8 N-m | ESS:  11.1/32 | plan:  217.9 ms
t=024.0s | Phase 1: Nominal Reach  | EE err: 0.155 m | L1 sh:  +3.0 | L1 elbow:  +0.5 N-m | ESS:   8.7/32 | plan:  193.0 ms
t=024.5s | Phase 2: SABOTAGE       | EE err: 0.284 m | L1 sh: +18.2 | L1 elbow:  +7.5 N-m | ESS:   7.0/32 | plan:  192.8 ms
t=025.0s | Phase 2: SABOTAGE       | EE err: 0.226 m | L1 sh: +23.0 | L1 elbow: +10.7 N-m | ESS:  14.0/32 | plan:  197.1 ms
t=025.5s | Phase 2: SABOTAGE       | EE err: 0.179 m | L1 sh: +19.5 | L1 elbow: +15.5 N-m | ESS:  16.6/32 | plan:  194.3 ms
