[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_K200_unknown_L1_on_20260710_001724.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-10_00-17-24.log[0m
[36m======================================================================================================================[0m

[33m00:17:24 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.372 m | L1 sh:  +0.2 | L1 elbow:  -0.2 N-m | ESS:  74.7/200 | plan:  189.1 ms
t=001.0s | Phase 1: Approach  | EE err: 0.353 m | L1 sh:  +0.3 | L1 elbow:  -0.2 N-m | ESS:  71.9/200 | plan:  188.2 ms
t=001.5s | Phase 1: Approach  | EE err: 0.337 m | L1 sh:  +0.3 | L1 elbow:  -0.0 N-m | ESS:  69.0/200 | plan:  193.2 ms
t=002.0s | Phase 1: Approach  | EE err: 0.328 m | L1 sh:  +0.1 | L1 elbow:  +0.1 N-m | ESS:  56.8/200 | plan:  224.1 ms
t=002.5s | Phase 1: Approach  | EE err: 0.320 m | L1 sh:  -0.1 | L1 elbow:  +0.3 N-m | ESS:  71.7/200 | plan:  192.3 ms
t=003.0s | Phase 1: Approach  | EE err: 0.312 m | L1 sh:  -0.7 | L1 elbow:  +0.4 N-m | ESS:  42.5/200 | plan:  214.2 ms
t=003.5s | Phase 1: Approach  | EE err: 0.295 m | L1 sh:  -1.7 | L1 elbow:  +1.1 N-m | ESS:  32.1/200 | plan:  189.8 ms
t=004.0s | Phase 1: Approach  | EE err: 0.279 m | L1 sh:  -2.0 | L1 elbow:  +1.4 N-m | ESS:  50.1/200 | plan:  190.7 ms
[EVENT] t=4.01s GRASP: +1.5 kg on env 0  [WARN: grasped while 0.28 m from target]
t=004.5s | Phase 2: Transport | EE err: 0.157 m | L1 sh:  -4.2 | L1 elbow:  +1.4 N-m | ESS:  86.6/200 | plan:  208.9 ms
t=005.0s | Phase 2: Transport | EE err: 0.122 m | L1 sh:  -3.8 | L1 elbow:  +2.5 N-m | ESS:  79.1/200 | plan:  192.8 ms
t=005.5s | Phase 2: Transport | EE err: 0.139 m | L1 sh:  -2.4 | L1 elbow:  +2.5 N-m | ESS:  86.8/200 | plan:  208.0 ms
t=006.0s | Phase 2: Transport | EE err: 0.154 m | L1 sh:  -1.2 | L1 elbow:  +1.4 N-m | ESS: 103.7/200 | plan:  208.6 ms
t=006.5s | Phase 2: Transport | EE err: 0.159 m | L1 sh:  -0.6 | L1 elbow:  +1.1 N-m | ESS:  87.1/200 | plan:  203.8 ms
t=007.0s | Phase 2: Transport | EE err: 0.158 m | L1 sh:  -0.5 | L1 elbow:  +1.2 N-m | ESS:  59.4/200 | plan:  207.3 ms
t=007.5s | Phase 2: Transport | EE err: 0.157 m | L1 sh:  -0.5 | L1 elbow:  +1.3 N-m | ESS:  32.3/200 | plan:  197.1 ms
t=008.0s | Phase 2: Transport | EE err: 0.151 m | L1 sh:  -0.5 | L1 elbow:  +1.3 N-m | ESS:  78.5/200 | plan:  194.0 ms
t=008.5s | Phase 2: Transport | EE err: 0.146 m | L1 sh:  -0.6 | L1 elbow:  +1.3 N-m | ESS:  61.3/200 | plan:  196.3 ms
t=009.0s | Phase 2: Transport | EE err: 0.145 m | L1 sh:  -0.4 | L1 elbow:  +1.4 N-m | ESS:  66.8/200 | plan:  200.1 ms
t=009.5s | Phase 2: Transport | EE err: 0.141 m | L1 sh:  -0.4 | L1 elbow:  +1.5 N-m | ESS:  65.8/200 | plan:  196.9 ms
t=010.0s | Phase 2: Transport | EE err: 0.134 m | L1 sh:  -0.3 | L1 elbow:  +1.5 N-m | ESS:  52.0/200 | plan:  202.6 ms
t=010.5s | Phase 2: Transport | EE err: 0.125 m | L1 sh:  -0.5 | L1 elbow:  +1.7 N-m | ESS:  65.3/200 | plan:  176.0 ms
t=011.0s | Phase 2: Transport | EE err: 0.117 m | L1 sh:  -0.3 | L1 elbow:  +1.6 N-m | ESS:  32.1/200 | plan:  203.8 ms
t=011.5s | Phase 2: Transport | EE err: 0.110 m | L1 sh:  -0.2 | L1 elbow:  +1.6 N-m | ESS:  76.1/200 | plan:  214.7 ms
t=012.0s | Phase 2: Transport | EE err: 0.104 m | L1 sh:  -0.2 | L1 elbow:  +1.6 N-m | ESS:  85.9/200 | plan:  194.6 ms
